video ID,View Count,Like Count,Dislike Count
cgI9usFKx_w,4500949,194326,8822
ctRc54oCozc,2619886,99833,1008
dXlPPCBQfCM,830797,40942,202
dccDZhIPKZc,4254318,325626,4191
dh63v6bXEsA,1955430,99930,2446
eEDZuFw34YM,1628926,34832,1160
eFSYJbmSG1o,303,1,1
eHwKAC4j5Zw,130246,7116,117
eeBQzjdlcLs,752578,39258,695
eiDiKwbGfIY,97488625,1537073,38150
f-mHLBD64HM,953637,75750,783
fEbed_DvQZI,1289887,56604,806
fH5SelF_glc,4672139,297129,13542
fTK0hhBiCgA,1669901,66205,1292
flJpgoNb_Vc,2114294,92249,1501
grpkaK9TFBQ,125920,16654,33
hFztQIuTJSQ,1749365,71845,1093
hM3RSqR0B70,336138,7818,159
hV6Swl5O1hs,849894,64174,517
hZg4-AtRVHQ,2623837,179262,2851
htoGNwxGmO8,1584422,57646,2172
iKzRIweSBLA,217620060,1694702,47942
j8Q9BONCttE,5588,130,22
jUKhIyuSXNQ,324220,12448,220
jvO1GDJXOgo,5830601,403268,10993
k8XrSeLBbGg,16096,282,36
kOWIowzyieg,2848334,136025,1412
kl39KHS07Xc,2921648,169000,11227
mG2ZKewEHSs,324217,19092,378
mNHp8iyyIjo,1141758,46931,625
mQaualzv8C4,7654046,79941,1793
mjvmzoilHJ8,587852,13345,281
n23UMrPSQ1s,1662164,55491,590
nSvIxDbfk3k,2011653,95061,1337
nrI_Lpy6kzA,2156474,135502,2072
o5U5ivOnJjs,30935347,227402,10101
o6ILTH6SsA0,632595,41591,461
oHmBf4ExtZk,106251881,1567951,132625
onk6YbQwbao,182040,24040,56
ouzj5yopegg,5041765,187032,2574
pXORXT_37O4,258793,29042,79
piinC82Zi1M,221735,12713,1478
qGgIC1GkBCw,996215,62210,1217
qfYe3nrQoeI,1136189,18394,385
rQVfE5EsoWg,8256,126,5
rQaUxk5xFdw,8727,266,65
rrwd2_UkmNw,760037,26611,574
rvskMHn0sqQ,3132562,190725,5805
